SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
39158,1/10/2017,262,20921.1,2986.5,7.01,0.47,1307160,1129716,140.38,0.45,4778,2,232704,801324,38628,972,534924,19691.2,597.4,57.62
40621,9/15/2017,257,6222.9,887.88,7.01,0.45,407196,132048,15.38,0.24,2001,3,470520,183924,7776,108,418788,5644.5,344.4,55.02
27935,8/23/2016,254,284182.3,40537.62,7.01,0.44,18684544,3362998,416.5,0.15,103544,49,193266,9596520,227915,13943,18615443,267907.3,7605.7,54.75
28441,8/23/2016,254,284182.3,40537.62,7.01,0.44,18684540,3363012,416.5,0.15,103544,49,193284,9596520,227916,13932,18615456,267907.3,7605.7,54.75
40677,10/23/2017,253,7459,1062.25,7.02,0.46,458892,210420,17,0.3,2745,8,133740,142740,195732,75312,519300,303.1,100.1,58.52
40580,8/6/2017,267,8872,1264,7.02,0.45,571860,866952,98.25,0.59,2866,2,1026576,125352,197028,4752,926424,8001.8,446.9,55.85
40620,9/15/2017,280,7460.2,1061.63,7.03,0.47,456336,41868,7.25,0.08,1908,1,564516,265968,162540,2052,383832,7052.5,192.9,58.85
40216,5/21/2017,282,33422,4751.88,7.03,0.45,2120868,520128,42.25,0.19,8418,4,281412,1362384,168084,6480,885240,31557.9,792.4,56.73
40606,9/3/2017,339,27468,3904.38,7.04,0.44,1795824,1509480,153.38,0.44,16306,109,20628,920736,87120,4572,2889972,23068.1,164.6,55.06
40679,10/23/2017,273,2395.9,340.25,7.04,0.44,171864,12672,1.63,0.07,1907,1,307908,77076,23112,72,17532,2055.8,157.4,50.19
40595,8/25/2017,264,13650.2,1937.75,7.04,0.44,875916,662472,78.25,0.42,6017,6,68904,657756,47412,9720,868860,12961.6,233.2,56.1
40720,11/30/2017,262,6550.6,930.63,7.04,0.48,392040,73332,8,0.15,1113,2,487584,300168,15228,1080,256500,6322.4,91.2,60.15
39303,2/5/2017,262,8855.2,1256,7.05,0.47,548424,176688,19.13,0.23,1951,5,248472,326952,22428,900,185688,8357.3,238,58.13
39778,4/4/2017,276,3428.9,486.13,7.05,0.46,214128,107208,8.5,0.32,1140,1,786528,122256,9504,1332,98136,3145.8,150.1,57.65
40252,5/26/2017,278,11378.9,1614,7.05,0.43,744912,609372,131.25,0.44,5668,3,678564,186192,20016,2376,1323864,10459.4,467.3,54.99
40376,6/19/2017,276,9735.1,1379.13,7.06,0.44,651168,488592,60.5,0.41,5495,1,842544,285804,20304,576,914328,8905.9,375.1,53.82
40659,10/15/2017,280,10834.9,1535.13,7.06,0.46,655632,520524,53.13,0.43,2515,1,579744,364176,358884,10440,906660,9505.4,957.8,59.49
40367,6/18/2017,275,66846.9,9472.13,7.06,0.45,4131252,5000148,892.25,0.54,15847,18,101664,1980432,208728,12276,5927112,62730.2,1947.1,58.25
28739,11/3/2016,247,17056.7,2417.63,7.06,0.45,1106100,601452,57.5,0.34,5004,1,157752,635724,56772,8532,411372,15138.6,1040.3,55.51
